Data;Hora UTC;VENTO, VELOCIDADE HORARIA (m/s)
01/01/2020;0000 UTC;1,7
01/01/2020;0100 UTC;1,1
01/01/2020;0200 UTC;2,4
01/01/2020;0300 UTC;1,9
01/01/2020;0400 UTC;2,8
01/01/2020;0500 UTC;3,4
01/01/2020;0600 UTC;1,9
01/01/2020;0700 UTC;1,6
01/01/2020;0800 UTC;1,5
01/01/2020;0900 UTC;2
01/01/2020;1000 UTC;2,4
01/01/2020;1100 UTC;2,9
01/01/2020;1200 UTC;4,1
01/01/2020;1300 UTC;3,1
01/01/2020;1400 UTC;3
01/01/2020;1500 UTC;3,5
01/01/2020;1600 UTC;4
01/01/2020;1700 UTC;4,9
01/01/2020;1800 UTC;4,5
01/01/2020;1900 UTC;5
01/01/2020;2000 UTC;5,4
01/01/2020;2100 UTC;3,9
01/01/2020;2200 UTC;3,4
01/01/2020;2300 UTC;2,1
02/01/2020;0000 UTC;2,6
02/01/2020;0100 UTC;1,8
02/01/2020;0200 UTC;1,4
02/01/2020;0300 UTC;1,2
02/01/2020;0400 UTC;1,9
02/01/2020;0500 UTC;1,9
02/01/2020;0600 UTC;1,8
02/01/2020;0700 UTC;1,4
02/01/2020;0800 UTC;1,1
02/01/2020;0900 UTC;2,3
02/01/2020;1000 UTC;2,4
02/01/2020;1100 UTC;2,5
02/01/2020;1200 UTC;3,3
02/01/2020;1300 UTC;4,1
02/01/2020;1400 UTC;3,5
02/01/2020;1500 UTC;4
02/01/2020;1600 UTC;4,6
02/01/2020;1700 UTC;5,1
02/01/2020;1800 UTC;5,3
02/01/2020;1900 UTC;5,8
02/01/2020;2000 UTC;5
02/01/2020;2100 UTC;4,6
02/01/2020;2200 UTC;4,5
02/01/2020;2300 UTC;2,9
03/01/2020;0000 UTC;3
03/01/2020;0100 UTC;2,6
03/01/2020;0200 UTC;2,8
03/01/2020;0300 UTC;2,1
03/01/2020;0400 UTC;1,7
03/01/2020;0500 UTC;1,8
03/01/2020;0600 UTC;1,8
03/01/2020;0700 UTC;2,3
03/01/2020;0800 UTC;1,8
03/01/2020;0900 UTC;1,3
03/01/2020;1000 UTC;4,2
03/01/2020;1100 UTC;4,9
03/01/2020;1200 UTC;4,9
03/01/2020;1300 UTC;5,3
03/01/2020;1400 UTC;4,9
03/01/2020;1500 UTC;5,1
03/01/2020;1600 UTC;5,7
03/01/2020;1700 UTC;6
03/01/2020;1800 UTC;6,5
03/01/2020;1900 UTC;6
03/01/2020;2000 UTC;5,7
03/01/2020;2100 UTC;4,4
03/01/2020;2200 UTC;3,5
03/01/2020;2300 UTC;3,3
04/01/2020;0000 UTC;2,5
04/01/2020;0100 UTC;2,2
04/01/2020;0200 UTC;2
04/01/2020;0300 UTC;2,4
04/01/2020;0400 UTC;2,1
04/01/2020;0500 UTC;1,9
04/01/2020;0600 UTC;2
04/01/2020;0700 UTC;2,2
04/01/2020;0800 UTC;1,5
04/01/2020;0900 UTC;2,2
04/01/2020;1000 UTC;3,1
04/01/2020;1100 UTC;5,4
04/01/2020;1200 UTC;5,1
04/01/2020;1300 UTC;3,9
04/01/2020;1400 UTC;4,6
04/01/2020;1500 UTC;5,5
04/01/2020;1600 UTC;5,9
04/01/2020;1700 UTC;5,6
04/01/2020;1800 UTC;6
04/01/2020;1900 UTC;5,8
04/01/2020;2000 UTC;5,8
04/01/2020;2100 UTC;4,6
04/01/2020;2200 UTC;3,7
04/01/2020;2300 UTC;3,5
05/01/2020;0000 UTC;2,4
05/01/2020;0100 UTC;2,4
05/01/2020;0200 UTC;1,7
05/01/2020;0300 UTC;1,7
05/01/2020;0400 UTC;1,7
05/01/2020;0500 UTC;2,2
05/01/2020;0600 UTC;1,5
05/01/2020;0700 UTC;1,5
05/01/2020;0800 UTC;1,3
05/01/2020;0900 UTC;,9
05/01/2020;1000 UTC;2,8
05/01/2020;1100 UTC;4,2
05/01/2020;1200 UTC;3,4
05/01/2020;1300 UTC;3
05/01/2020;1400 UTC;4,1
05/01/2020;1500 UTC;4,2
05/01/2020;1600 UTC;5,1
05/01/2020;1700 UTC;5,4
05/01/2020;1800 UTC;4,2
05/01/2020;1900 UTC;4,5
05/01/2020;2000 UTC;4,5
05/01/2020;2100 UTC;3,4
05/01/2020;2200 UTC;3
05/01/2020;2300 UTC;2,2
06/01/2020;0000 UTC;1,8
06/01/2020;0100 UTC;2,2
06/01/2020;0200 UTC;1,2
06/01/2020;0300 UTC;1,3
06/01/2020;0400 UTC;1,7
06/01/2020;0500 UTC;1,8
06/01/2020;0600 UTC;1,4
06/01/2020;0700 UTC;1,6
06/01/2020;0800 UTC;1,7
06/01/2020;0900 UTC;2,1
06/01/2020;1000 UTC;3,5
06/01/2020;1100 UTC;4,7
06/01/2020;1200 UTC;4
06/01/2020;1300 UTC;3,9
06/01/2020;1400 UTC;5
06/01/2020;1500 UTC;4,8
06/01/2020;1600 UTC;5
06/01/2020;1700 UTC;5,6
06/01/2020;1800 UTC;5,2
06/01/2020;1900 UTC;5,1
06/01/2020;2000 UTC;4,6
06/01/2020;2100 UTC;4,5
06/01/2020;2200 UTC;4,1
06/01/2020;2300 UTC;2,7
07/01/2020;0000 UTC;2,1
07/01/2020;0100 UTC;1,9
07/01/2020;0200 UTC;1,3
07/01/2020;0300 UTC;1,7
07/01/2020;0400 UTC;1,4
07/01/2020;0500 UTC;1,3
07/01/2020;0600 UTC;1,3
07/01/2020;0700 UTC;1,2
07/01/2020;0800 UTC;1,7
07/01/2020;0900 UTC;1,4
07/01/2020;1000 UTC;3,3
07/01/2020;1100 UTC;3,1
07/01/2020;1200 UTC;2,9
07/01/2020;1300 UTC;2,6
07/01/2020;1400 UTC;4,7
07/01/2020;1500 UTC;4,3
07/01/2020;1600 UTC;4,8
07/01/2020;1700 UTC;4,5
07/01/2020;1800 UTC;4,7
07/01/2020;1900 UTC;4,4
07/01/2020;2000 UTC;4,2
07/01/2020;2100 UTC;4,2
07/01/2020;2200 UTC;2,9
07/01/2020;2300 UTC;2,2
08/01/2020;0000 UTC;3,2
08/01/2020;0100 UTC;1,9
08/01/2020;0200 UTC;1,9
08/01/2020;0300 UTC;1,5
08/01/2020;0400 UTC;1,1
08/01/2020;0500 UTC;1,4
08/01/2020;0600 UTC;1,1
08/01/2020;0700 UTC;1,3
08/01/2020;0800 UTC;,7
08/01/2020;0900 UTC;1,1
08/01/2020;1000 UTC;2
08/01/2020;1100 UTC;2,7
08/01/2020;1200 UTC;2,2
08/01/2020;1300 UTC;3,7
08/01/2020;1400 UTC;3,5
08/01/2020;1500 UTC;4,2
08/01/2020;1600 UTC;4,3
08/01/2020;1700 UTC;4,3
08/01/2020;1800 UTC;4,6
08/01/2020;1900 UTC;5,1
08/01/2020;2000 UTC;4,9
08/01/2020;2100 UTC;3,8
08/01/2020;2200 UTC;3,5
08/01/2020;2300 UTC;3,3
09/01/2020;0000 UTC;2,7
09/01/2020;0100 UTC;2,9
09/01/2020;0200 UTC;1,9
09/01/2020;0300 UTC;2,4
09/01/2020;0400 UTC;1,6
09/01/2020;0500 UTC;1,2
09/01/2020;0600 UTC;,7
09/01/2020;0700 UTC;1,4
09/01/2020;0800 UTC;1,4
09/01/2020;0900 UTC;1,9
09/01/2020;1000 UTC;3,2
09/01/2020;1100 UTC;3,9
09/01/2020;1200 UTC;2,7
09/01/2020;1300 UTC;4,1
09/01/2020;1400 UTC;4,9
09/01/2020;1500 UTC;5,8
09/01/2020;1600 UTC;6,3
09/01/2020;1700 UTC;6,3
09/01/2020;1800 UTC;5,7
09/01/2020;1900 UTC;4,9
09/01/2020;2000 UTC;4,9
09/01/2020;2100 UTC;4,2
09/01/2020;2200 UTC;3,1
09/01/2020;2300 UTC;2,8
10/01/2020;0000 UTC;2,5
10/01/2020;0100 UTC;2,1
10/01/2020;0200 UTC;1,8
10/01/2020;0300 UTC;1,8
10/01/2020;0400 UTC;,6
10/01/2020;0500 UTC;,8
10/01/2020;0600 UTC;,7
10/01/2020;0700 UTC;,2
10/01/2020;0800 UTC;1,1
10/01/2020;0900 UTC;1,8
10/01/2020;1000 UTC;2,9
