,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ESN,ARMA+ESN,RBF,ARMA+RBF,ACTUAL
2019-02-14 02:00:00,1.960023167991014,1.9955561532220683,2.425498411418024,2.1931064,2.246526482962938,2.1950404862110355,2.877639105240213,2.6172645,2.279797795676561,2.575
2019-02-14 03:00:00,2.5786017176917113,2.7544843953715024,3.0964692614693163,2.7272143,2.8737848994544066,2.8052838626835803,3.1233677817208356,3.157974,1.9323695895484008,4.672
2019-02-14 04:00:00,3.8517239549027726,4.159072968603809,4.4189541216644965,4.006356,4.150427148567323,4.355859118921988,4.293524646444203,3.564911,4.751589582191591,1.562
2019-02-14 05:00:00,2.3629679494816567,2.679632556436322,2.9189143217463625,2.8724256,2.563825588794401,3.056242019340011,2.661971445690208,2.851724,2.453742485614469,3.201
2019-02-14 06:00:00,2.726202941145068,3.6245012041825158,3.339770131224505,3.5901709,3.1282763244763667,3.4980366602774127,3.262150196371367,3.7826803,3.5980000259534175,2.976
2019-02-14 07:00:00,2.7660649955332715,4.2690133585238215,3.6460733359918804,3.6124535,3.286468857532783,3.4577652594239177,3.5416189337713146,3.4775338,3.4851883590281445,3.094
2019-02-14 08:00:00,2.705622747184331,3.219785938735046,3.0551767509287484,3.2664132,2.84236295485645,3.218040704695352,3.0417447601671834,2.8434353,3.0311418321147507,4.027
2019-02-14 09:00:00,3.5125453078074407,3.8728793391088985,4.170675368856575,3.7741973,3.745193203620429,3.71363110680214,4.040235425117736,3.638108,3.8109523855967473,1.093
2019-02-14 10:00:00,2.293876729836581,2.6248347382027317,2.7854152826770746,2.6673143,2.679759584298251,2.67618457355315,2.712788228685604,2.8517227,2.718409143319247,2.215
2019-02-14 11:00:00,2.554900822439304,2.6782622722351848,3.234786030094214,2.9362013,2.7695080612088354,2.826103749790237,3.056050847595146,3.2722187,2.5179354522610815,1.361
2019-02-14 12:00:00,2.1338371348362015,3.0672145151383354,2.844735197251249,2.6625319,2.4289721560459183,2.458447847482411,2.867311468056367,3.0529947,2.4810313296299027,2.078
2019-02-14 13:00:00,2.181538788215821,3.2616526921117033,2.563645774458155,2.9792652,2.305947986976807,2.74846864121807,2.4394839466180502,3.28138,2.079343048469727,2.692
2019-02-14 14:00:00,2.6225308029014163,3.5076554730392093,3.2117744061338462,3.1903713,2.7435406295615725,3.0257532311284674,3.019147490349972,3.1760106,2.55617128294292,3.809
2019-02-14 15:00:00,3.039903650544534,3.5968363539359873,3.4806982395883286,3.5129,3.362382898591409,3.5702854286382264,3.5312303755431613,3.23047,3.8073372938855985,1.348
2019-02-14 16:00:00,2.0703223913363065,2.2196657450249533,2.704136898849364,2.659045,2.369130489175662,2.6246934995903644,2.329408601046917,2.6125638,2.572136279886111,1.671
2019-02-14 17:00:00,2.196913242553853,2.223239054656528,2.8041356774694055,2.575801,2.5997371675721634,2.4269223370367525,3.1015594192532667,2.7254043,2.8602771761170853,3.239
2019-02-14 18:00:00,2.7598502992256835,3.337707569681874,3.5237732279577267,3.3051627,3.2319686769112304,3.3699651340655095,3.319938289493349,3.0873253,3.4970639108284667,2.408
2019-02-14 19:00:00,2.778785004914479,3.0069808245907512,3.1795003666640542,3.0243552,2.95881725817986,3.070514401015578,3.2031479309418196,2.70801,3.178206219971852,2.021
2019-02-14 20:00:00,2.6257043432254186,2.50939824042842,3.148096923644207,2.666453,2.8232422422427526,2.6134631838448295,3.2205765154302846,2.005246,2.5322666715640416,1.859
2019-02-14 21:00:00,2.158496417531726,2.6889189101148228,2.8198433584039426,2.8376114,2.5534162898156616,2.665867762144792,2.6128712298468235,2.6499255,2.5834236521813843,1.149
2019-02-14 22:00:00,1.8543960843080862,2.743332122250055,2.438435909339903,2.4790146,2.136612633227764,2.3434162023850744,2.094911940339504,2.9950902,2.4963362011904104,0.893
2019-02-14 23:00:00,1.520445629706177,2.555700932929692,2.0864831881367008,2.3580017,1.690654083838257,2.1353710539108777,2.0375845372554617,3.0236773,1.9588110891483157,0.643
2019-02-15 00:00:00,1.3033942758896906,2.451650216338483,1.7901300649405822,2.1572566,1.5799326479294855,1.894662451988383,1.7989998450597202,3.163468,1.276147800669964,0.002
2019-02-15 01:00:00,1.1717616161189863,1.9155837434072844,1.6768183486651262,1.7619445,1.4307037433467695,1.4844914799715534,1.4906404731131222,3.1524525,2.043613060363371,0.003
2019-02-15 02:00:00,1.031079593870491,1.6531303760217118,1.5274758100188834,1.5957483,1.2939961588118973,1.3440896282842358,1.4094197043962295,3.2078383,1.7466638719771805,0.948
2019-02-15 03:00:00,1.6368736098722574,2.4704015478518184,2.1132486266593062,2.2648168,1.9780486892179605,2.1315885801559658,1.8359436172371917,3.2353718,2.782857305856144,1.566
2019-02-15 04:00:00,2.0162281906352875,3.2751393033179874,2.4471817720132845,2.633084,2.3482918655620453,2.664693861234288,2.3649202853869524,3.2671278,3.1231503402934906,2.004
2019-02-15 05:00:00,2.118388312577184,2.8714758635875075,2.55586536840403,2.7047505,2.456755774735387,2.7891843023451,2.374577256938535,3.035107,3.2215362961282095,3.445
2019-02-15 06:00:00,2.9773328223419564,3.556284370883761,3.5407353421602843,3.4923456,3.4095632949066537,3.5815233762767207,3.2469569974558623,3.1781397,4.280682317276039,1.74
2019-02-15 07:00:00,2.14150368714442,2.959806054054087,2.7083687180563607,2.865273,2.574014539958141,2.813390653867034,2.5406231250483313,2.7302616,3.4809211447249866,0.499
2019-02-15 08:00:00,1.3891573705928573,2.148799139024055,1.9337074559583667,2.1760156,1.7712007322566756,1.9306054437562374,1.9430093688666825,2.773951,2.51731450941732,1.685
2019-02-15 09:00:00,1.940906995526023,2.8765239422387077,2.6384700346265944,2.7052326,2.390259736767478,2.3973261051931924,2.430342583723934,3.2172399,2.6682081162840796,0.909
2019-02-15 10:00:00,1.6652327298168463,3.3695719711408265,2.1152601279315517,2.512366,1.9002481221203131,2.277782532173615,1.9063198822585796,3.2633288,2.1147003888134286,1.636
2019-02-15 11:00:00,2.270515462539862,3.3642237613563863,2.680253534126428,2.818713,2.360056420944403,2.529694231424476,2.6680515186279514,3.3363235,2.3011040894014343,4.55
2019-02-15 12:00:00,3.62666586730972,4.662535733030953,4.223976898224024,4.4056926,3.948454655151517,4.212063026186287,3.990885487147737,3.4813704,4.032079494934232,3.992
2019-02-15 13:00:00,3.6107949110495627,4.8589728370780705,4.138078936655772,4.379461,3.972459206246096,4.372015481878452,3.678106965514854,3.6757236,4.851348290108401,5.04
2019-02-15 14:00:00,4.22963182917852,4.5651660409053845,4.814931742727381,4.632803,4.532636570847221,4.694768747079805,4.735216095124501,4.3954086,4.8126339196326215,2.148
2019-02-15 15:00:00,2.4578721353649087,3.6472892819951857,3.2641321242586177,3.2803898,3.022189838611979,3.05747254288015,3.350265780059475,3.5293055,3.096478683674235,4.981
2019-02-15 16:00:00,3.6054584978069,4.01352689406682,4.256296618400969,4.320435,3.9757764337505037,4.298189816491355,4.13422186824477,4.4136715,4.3522150514568025,1.291
2019-02-15 17:00:00,2.3692036160107017,2.517038668092026,3.1260620221768862,2.6370628,2.621380377637899,2.683668606422333,3.158206711231694,2.771423,2.9720054157848717,4.19
