;ARMA;ELM;ARMA+ELM;MLP;ARMA+MLP;ACTUAL
06/02/2019 09:00;6.159699929;17.16746529;14.42436009;8.727994;16.92939712;15.24
06/02/2019 10:00;15.14140746;49.81433923;51.7385553;41.738693;46.52776763;52.55
06/02/2019 11:00;25.10249099;14.78612856;16.66712649;9.560196;16.38891753;13.85
06/02/2019 12:00;7.317318506;6.302086228;5.384290044;6.713216;4.630550928;5.481
06/02/2019 13:00;8.886877638;3.641405294;2.188839104;1.6025095;2.874641043;2.697
06/02/2019 14:00;4.468643054;4.27429201;4.469388498;-1.097869;6.651262149;3.505
06/02/2019 15:00;7.078499173;4.698914001;4.374813053;9.457834;4.570513104;4.381
06/02/2019 16:00;3.974999446;7.335873357;7.348156455;10.378922;7.29884817;7.27
06/02/2019 17:00;3.721239479;6.690760886;5.960400052;10.461739;3.783869179;6.426
06/02/2019 18:00;8.127936876;5.473209647;5.930119641;2.579926;-0.953646147;5.547
06/02/2019 19:00;5.146704507;5.77196351;5.551357783;-5.253375;9.747628046;6.002
06/02/2019 20:00;10.02116715;5.181855961;4.943630533;6.07841;6.691312188;4.799
06/02/2019 21:00;4.294268411;3.405139694;5.071545086;7.3024178;6.791672509;4.743
06/02/2019 22:00;4.83977508;2.807344821;3.784283881;12.687695;4.959110255;4.532
06/02/2019 23:00;7.984498079;4.801279291;2.456269393;5.869789;3.423361834;3.931
07/02/2019 00:00;4.596378963;7.45817667;6.651163608;5.1066117;7.628008526;6.216
07/02/2019 01:00;5.17479658;7.809872544;8.796303782;13.249363;7.954623698;7.88
07/02/2019 02:00;4.999706007;5.346262919;5.479064901;7.0352325;7.653672911;5.535
07/02/2019 03:00;4.192784064;8.81650314;5.97158392;6.400091;6.938210242;5.496
07/02/2019 04:00;7.074519873;5.587044156;5.926606377;6.6829863;8.343061209;5.834
07/02/2019 05:00;5.97681098;5.492494204;5.637685762;6.4297895;6.441216039;5.416
07/02/2019 06:00;3.577000507;4.271964369;4.432882323;5.1800504;4.670254596;4.167
07/02/2019 07:00;6.20637021;5.436485817;3.710816517;5.5080614;6.725193834;4.074
07/02/2019 08:00;6.513109669;5.189625222;3.327854368;6.0145826;5.549982533;4.683
07/02/2019 09:00;5.997288308;6.065285768;4.944496245;5.0620627;4.688593468;3.706
07/02/2019 10:00;5.36581382;4.145716498;4.422085635;4.9820137;5.862775414;4.002
07/02/2019 11:00;3.490625293;5.252990809;5.742595503;6.402172;5.866449267;5.338
07/02/2019 12:00;6.003408813;6.580763893;6.225165018;6.895381;7.723421477;6.094
07/02/2019 13:00;7.19852789;4.337804065;4.095451465;5.991009;6.144475537;3.52
07/02/2019 14:00;3.143631434;7.030680792;6.609498871;6.986526;6.433798289;6.657
07/02/2019 15:00;5.147952693;5.968173689;5.643708432;6.814651;6.573199885;5.519
07/02/2019 16:00;5.221104305;7.140133546;7.07439349;8.582203;7.697004955;6.932
07/02/2019 17:00;6.75356812;5.808843257;5.399237661;7.051901;7.167977758;5.583
07/02/2019 18:00;6.992439738;5.451954202;5.640709059;6.8379755;6.57798051;5.295
07/02/2019 19:00;4.439143334;5.752488786;5.402060243;6.8226976;5.833846245;5.462
07/02/2019 20:00;5.076984889;5.75425314;5.657627442;6.6035695;6.221035487;5.328
07/02/2019 21:00;7.311574916;5.126478024;4.934929457;5.641605;6.664335231;4.57
07/02/2019 22:00;6.088045483;6.439978901;5.976920078;7.3785;6.39872778;6.078
07/02/2019 23:00;5.269531827;6.226719502;5.930342376;6.7534575;6.350563626;5.779
08/02/2019 00:00;5.081196904;6.643909104;6.409097871;7.423261;6.552708745;6.324
08/02/2019 01:00;5.425927684;4.731631174;4.197857177;5.039141;5.531819866;4.263
08/02/2019 02:00;6.53583558;4.676694291;4.27105686;5.7307267;5.834810571;4.101
08/02/2019 03:00;5.066934214;4.794605615;4.210403092;6.0889387;4.791467295;4.268
08/02/2019 04:00;3.153533539;4.546037764;4.186759046;5.322961;4.719201645;4.088
08/02/2019 05:00;5.211446207;4.54962865;4.377836923;5.8228426;5.561171931;4.147
08/02/2019 06:00;6.023105667;4.738348366;4.219681644;5.622626;5.338489578;4.062
08/02/2019 07:00;5.462126141;5.18149759;4.92494426;6.106368;5.680254345;4.799
08/02/2019 08:00;5.230656973;5.618287699;5.294860594;6.347915;5.61621987;5.143
08/02/2019 09:00;4.176408256;5.226950032;5.001264554;5.932407;5.786355461;4.889
08/02/2019 10:00;6.320574932;4.780587102;4.451647244;6.188906;5.98602026;4.204
08/02/2019 11:00;6.474926044;4.919320057;4.604526669;6.432173;5.746240665;4.449
08/02/2019 12:00;4.136157666;7.145341363;6.762283328;8.035761;6.932759915;6.829
08/02/2019 13:00;5.260559344;5.410518936;5.270047069;6.5834174;5.839914584;4.959
08/02/2019 14:00;5.16281946;6.48741443;6.21559613;7.293692;7.471205309;6.172
08/02/2019 15:00;6.729413122;7.090902363;6.995423723;8.211627;8.065445989;6.947
08/02/2019 16:00;6.74302794;6.556339164;6.431675147;7.484527;7.257489457;6.357
08/02/2019 17:00;4.68825545;6.14631616;5.910275072;6.883222;6.395532748;5.931
08/02/2019 18:00;5.446687896;5.589187262;5.191835852;6.3852673;6.433942992;5.068
08/02/2019 19:00;6.842786947;6.625693985;6.410236985;7.4532566;7.793049016;6.243
08/02/2019 20:00;6.633283034;5.875147649;5.325235967;6.8409743;5.853822127;5.352
08/02/2019 21:00;5.004790653;7.557843854;7.484980612;7.6120176;7.776543965;7.36
08/02/2019 22:00;6.072678604;6.119147817;5.817367177;6.845571;6.446505585;5.789
08/02/2019 23:00;5.71214642;5.854511505;5.692606553;6.4076457;6.489986081;5.49
09/02/2019 00:00;7.056506761;5.178339251;4.779364293;6.0627003;6.125871308;4.756
09/02/2019 01:00;5.248327239;5.464344568;5.101485458;6.0050006;5.389316543;5.032
09/02/2019 02:00;3.941950913;5.520796772;5.151970592;6.023224;5.780009385;5.071
09/02/2019 03:00;5.788000895;4.716525377;4.292420773;6.0516353;5.227455928;4.059
09/02/2019 04:00;5.5999863;4.448506911;3.868844459;5.1923366;5.099490389;3.757
09/02/2019 05:00;5.389056851;4.499292197;4.102071246;5.6366434;4.560592343;4.062
09/02/2019 06:00;4.321758546;5.473247557;5.171897984;5.876909;5.644964494;5.029
09/02/2019 07:00;4.6208086;5.288375345;5.072422437;6.375605;5.805449485;4.938
09/02/2019 08:00;6.261196801;5.496579132;5.385505531;6.577138;6.639471718;5.165
09/02/2019 09:00;6.536768741;4.595796348;4.256517538;6.029192;5.46529848;4.163
09/02/2019 10:00;4.350799947;6.166858347;5.756112742;7.1896834;5.906525045;5.792
09/02/2019 11:00;4.980516567;5.977596594;5.770400153;6.5710945;6.597404613;5.53
09/02/2019 12:00;5.784859108;4.777934458;4.415659387;6.2982454;5.885670113;4.371
09/02/2019 13:00;5.881894554;5.401803463;5.029520415;6.7839627;6.326295341;4.983
09/02/2019 14:00;5.679226015;6.968169654;6.932927498;8.208506;7.377096269;6.899
